Latitude,Longitude,Hour_in_the_year,Year,Slope_elevation_angle,Slope_azimuth_angle,cos_i
65.014,-94.067,7895,2011,4.2587,-6.4841,-0.7518
65.014,-94.067,5178,2011,4.2587,-6.4841,0.29512
65.014,-94.067,7096,2011,4.2587,-6.4841,0.063849
65.014,-94.067,2117,2011,50.882,86.68,-0.79535
65.014,-94.067,5775,2011,50.882,86.68,0.8174
65.014,-94.067,5560,2011,50.882,86.68,0.91049
65.014,-94.067,269,2011,50.882,86.68,-0.97846
65.014,-94.067,4996,2011,50.882,86.68,-0.58186
65.014,-94.067,5406,2011,50.882,86.68,-0.63607
65.014,-94.067,8308,2011,50.882,86.68,-0.96959
65.014,-94.067,3551,2011,50.882,86.68,0.1594
65.014,-94.067,8456,2011,50.882,86.68,-0.72805
65.014,-94.067,4286,2011,50.882,86.68,0.77596
65.014,-94.067,1888,2011,67.674,59.822,0.98908
65.014,-94.067,5876,2011,67.674,59.822,0.47877
65.014,-94.067,4112,2011,67.674,59.822,-0.37326
65.014,-94.067,6714,2011,67.674,59.822,0.79123
65.014,-94.067,8125,2011,67.674,59.822,0.63887
65.014,-94.067,1042,2011,67.674,59.822,-0.059665
65.014,-94.067,799,2011,67.674,59.822,-0.72945
65.014,-94.067,2562,2011,67.674,59.822,0.85104
65.014,-94.067,3881,2011,67.674,59.822,0.92765
